node_index,latitude,longitude,elevation,temperature_2m,relative_humidity_2m,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,cloud_cover,pressure_msl,surface_pressure
6656,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6657,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6658,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6659,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6660,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6661,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6662,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6663,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6664,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6665,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6666,30.75,76.75,334,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.4619751
6667,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6668,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6669,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6670,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6671,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6672,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6673,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6674,30.75,76.75,334,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.4619751
6675,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6676,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6677,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6678,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6679,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6680,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6681,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6682,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6683,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6684,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6685,30.75,76.75,334,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.4619751
6686,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6687,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6688,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6689,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6690,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6691,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6692,30.75,76.75,339,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,961.9227905
6693,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6694,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6695,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6696,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6697,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6698,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6699,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
